name,specialization,hospital,phone_number,location,consultation_fee,wait_time,city,category
Dr. Mamoon Qadir,"Interventional Cardiologist, Cardiologist, Interventional Cardiologist","Kulsoom International Hospital, Blue Area G-7, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 02,Islamabad,Cardiologist
Dr. Izaz Ali Khan,Cardiologist,"Omer Diagnostics and Specialist Clinics, G8 Markaz, Islamabad",N/A,Islamabad,"Rs. 1,000",Available Today,Islamabad,Cardiologist
Dr. Faridullah Khan,Cardiologist,"Advanced International Hospital, G-8 Markaz, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 04,Islamabad,Cardiologist
Dr. Hassan Shabbir Arain,Cardiologist,"Bahria Town Hospital, Bahria town, Islamabad",N/A,Islamabad,"Rs. 1,000",Available Tomorrow,Islamabad,Cardiologist
Dr. Touqeer Akbar,Cardiologist,"Medikay Cardiac Centre, Meherban Colony Rawal Dam Colony, Islamabad",N/A,Islamabad,"Rs. 3,000",Available from Mar 03,Islamabad,Cardiologist
Dr. Imran Khan,Cardiologist,"Islamabad International Hospital & Research Center, Sector E, Islamabad",N/A,Islamabad,"Rs. 3,000",Available Today,Islamabad,Cardiologist
Dr. Abdul Manan Bari,Cardiologist,"Quaid-E-Azam International Hospital, Main Peshawar Road, Islamabad",N/A,Islamabad,"Rs. 5,000",Available from Mar 02,Islamabad,Cardiologist
Dr. Bakht Umar Khan,Cardiologist,"Well care international hospital, Rawalpindi, Rawalpindi",N/A,Rawalpindi,"Rs. 1,000",Available Today,Islamabad,Cardiologist
Dr. Yusra Shabbir,Dermatologist,"Sarf Hospital, F-10, Islamabad",N/A,Islamabad,Rs. 500,Available from Mar 03,Islamabad,Dermatologist
Dr. Zeeshan Perwaiz,Dermatologist,"Life Care International Hospital, G-10 Markaz, Islamabad",N/A,Islamabad,"Rs. 1,500",Available from Mar 02,Islamabad,Dermatologist
Dr. Malik Aftab Afzal,Dermatologist,"Afzal Hospital, Machine Mohalla No.3 Jhelum, OLD GT road, Jhelum",N/A,Islamabad,"Rs. 1,500",Available Today,Islamabad,Dermatologist
Dr. Professor Brigadier Asher Ahmed,Dermatologist,"Nelson Medical Complex, Abid Majeed Road, Rawalpindi",N/A,Islamabad,"Rs. 2,000",Available Today,Islamabad,Dermatologist
Dr. Khalid Aslam,Dermatologist,"Skin Care Clinic, Dha phase 2, Islamabad",N/A,Islamabad,"Rs. 2,000",Available Today,Islamabad,Dermatologist
Assoc. Prof. Dr. Lubna Rani Faysal,Dermatologist,"Islamabad Aesthetic Center, F8 Markaz, Islamabad",N/A,Islamabad,"Rs. 2,500",Available Today,Islamabad,Dermatologist
Dr. Rabail Khan,Dermatologist,"Dr Rabail's Skin Clinic, Islamabad, Islamabad",N/A,Islamabad,"Rs. 2,000",Available Tomorrow,Islamabad,Dermatologist
Dr. Shegref Mushtaq,"Dermatologist, Cosmetologist","Cosmetico Clinic, F-6, Islamabad",N/A,Islamabad,"Rs. 2,000",Available from Mar 02,Islamabad,Dermatologist
Assoc. Prof. Dr. Dur E Shehwar Sikandar,Dermatologist,"Derma Care Clinic, Bahria Town, Islamabad",N/A,Islamabad,"Rs. 3,000",Available Today,Islamabad,Dermatologist
Dr. Aimen Fatimah,"Dermatologist, Aesthetic Physician, Laser Specialist","Bilal Hospital, Satellite Town, Rawalpindi",N/A,Islamabad,"Rs. 1,200",Available Today,Islamabad,Dermatologist
